gender,median_home_val,ic2,ic3,avggift,target_d
F,619,222,260,12.8,14
F,3303,568,586,14,25
F,960,526,548,15.2,20
M,1236,630,727,6.076923077,10
M,473,179,207,5.5,6
F,1055,462,379,20.8,25
F,1509,617,599,9,11
F,1953,526,478,15.5,10
M,927,322,372,5,26
F,2098,311,352,6.076923077,10
M,5209,1220,1058,30.94117647,38
F,476,280,272,7.1,15
M,1515,684,717,14,14
M,2158,516,535,7.933333333,9
M,1110,544,538,7.264705882,10
F,581,361,359,9.857142857,15
M,563,301,308,10.18181818,14
F,740,288,294,5,5
F,516,378,347,12.33333333,15
M,575,282,290,10,20
M,2357,540,570,13.66666667,19
M,645,360,306,10.875,25
M,825,239,290,20,20
M,531,278,272,5.375,5
F,195,148,159,4.302325581,5
F,423,297,274,6.055555556,20
F,2725,684,662,15,30
F,359,247,270,20,20
F,1373,463,504,28.33333333,40
F,889,488,450,5.846153846,6
M,824,274,288,10.15384615,10
M,1993,472,484,10.83333333,15
F,618,310,302,10.25,30
F,3259,626,508,7.666666667,10
F,151,208,230,2.361111111,2
M,492,370,317,14.57142857,20
F,948,530,585,5.484848485,5
F,717,313,235,24.16666667,20
M,612,326,392,12.1,22
F,919,337,349,8.214285714,11
M,5059,752,751,10.6,25
M,5667,808,594,28.83333333,47
F,2750,701,717,11.44444444,15
F,513,434,436,6.07675,11
F,1848,515,560,5.684210526,7
M,1417,341,519,14.11111111,10
F,347,255,229,8.076923077,20
M,994,475,485,13.77777778,25
F,3542,690,807,6.642857143,10
M,797,418,423,7.769230769,23
M,791,407,390,7.636363636,12
F,957,399,450,15,10
F,357,214,215,25,25
F,896,362,389,20,20
F,402,249,276,4.833333333,5
M,3083,270,233,2.916666667,3
F,460,357,300,9.363636364,5
M,294,355,391,17.5,20
F,1199,556,597,10,15
F,1125,336,305,5.714285714,7
M,974,279,300,8.533333333,13
M,316,238,254,12.5,15
F,825,463,464,25,30
F,642,284,306,6.142857143,10
M,1263,517,548,7.6875,10
F,1809,466,503,8,10
M,5294,1165,1012,13,30
F,1161,484,536,5.75,6
F,295,203,195,6.333333333,8
F,3020,765,809,40.08333333,75
F,431,342,386,8.571428571,16
F,544,283,326,11,25
M,618,278,278,7.846153846,10
M,323,207,201,5.444444444,10
M,1104,528,534,13,10
M,671,365,372,4.888888889,16
F,510,370,324,10.8,23
F,650,302,315,8.666666667,21
F,487,287,286,12.72727273,15
F,2925,305,353,7.523809524,10
M,884,268,271,4.428571429,3
F,753,393,373,8.4,10
F,594,350,343,2.571428571,2
F,3149,601,562,10.71428571,20
F,5266,675,669,9.2,10
M,1401,445,462,5,6
M,593,180,207,12.5,10
F,915,357,367,13,20
F,456,311,314,7.285714286,10
M,610,336,384,4.625,7
M,1229,502,507,8.4,5
M,428,196,171,9.769230769,10
F,2333,643,420,7.307692308,10
M,707,400,398,9.333333333,45
F,377,199,219,16.66666667,20
F,348,269,264,27.5,30
F,1878,526,564,6.785652174,5
F,777,386,396,17.8,20
F,1463,439,266,12.16666667,15
M,375,214,206,5.347826087,12
F,561,301,323,19.66666667,26
M,502,250,229,7.875,10
M,4206,804,834,12.66666667,10
M,800,398,338,16.6,23
M,1472,653,687,15.21428571,21
F,492,450,425,8.4375,10
F,609,347,349,6.666666667,10
F,2430,610,659,9.5,20
M,2559,591,614,10.25,16
F,696,357,358,3.3,3
M,762,355,327,6.608695652,8
F,3556,701,838,15.85714286,15
F,441,321,300,5.279069767,7
F,502,363,341,15.66666667,20
M,673,330,335,13.45454546,15
F,1173,424,407,4.125,3
F,934,373,376,25,25
M,1332,411,422,9.576923077,20
F,451,261,262,15,10
F,649,273,272,5.411764706,8
F,590,439,433,13,11
F,500,316,314,11.5,25
M,368,271,261,10.7,19
M,427,365,340,9,15
F,1458,191,220,4.243243243,8
M,274,214,199,40.875,200
F,584,287,336,11.14285714,10
F,553,309,333,8.916666667,10
M,903,406,358,6.75,7
M,2545,304,386,12.5,17
F,1778,480,439,39.44444444,50
F,1187,366,393,10.81481482,10
F,1448,667,698,7.076923077,13
M,1432,693,680,25,150
F,2598,557,562,8.222222222,15
F,2855,385,484,6.538461539,20
F,535,437,317,9.8125,15
M,662,406,394,12.5,15
F,2973,591,624,7.25,10
F,2289,647,657,9.769230769,10
F,1274,798,804,6.409090909,10
F,1024,451,446,10.5,32
F,558,354,382,7.5,15
M,717,315,333,4.85,2
F,1667,603,592,13.33333333,20
F,843,424,475,10.72727273,21
F,583,374,405,9.666666667,14
M,1801,534,475,19.47058824,20
F,863,527,459,9.153846154,10
M,335,157,154,4.857142857,7
F,1362,645,627,8.533333333,10
F,700,257,281,20,20
F,562,480,388,20,30
M,1287,508,567,4.105769231,4
F,476,254,272,13,21
M,5939,1211,1080,20,36
F,648,418,357,7,5
M,1862,372,401,17.85714286,20
F,1843,511,575,19,10
M,5190,892,871,9.888888889,20
M,3912,410,404,6,7
F,1537,783,916,11.0625,12
F,719,340,389,10.86666667,11
M,1074,472,510,8.823529412,15
M,298,281,267,6.625,4
M,1951,838,870,9.333333333,20
M,1434,479,513,18,20
M,206,251,267,11.66666667,15
M,613,267,209,17.5,18
F,991,506,532,7.769230769,8
F,900,420,386,13.31818182,25
F,1163,493,511,53,25
F,3260,542,552,13,10
M,430,283,281,12,14
F,167,273,247,14.41176471,20
F,1380,325,299,7.875,11
F,1518,171,208,5.055555556,5
M,1224,577,608,2.8125,1
F,182,217,242,10.26666667,20
F,786,452,444,4.555555556,5
M,308,186,204,4.5,5
F,1074,252,294,10.04347826,20
M,885,408,417,9.714285714,9
F,2375,363,411,4.142857143,6
M,657,293,303,9.472222222,10
F,581,372,369,25.5,20
M,3010,518,431,8.333333333,5
M,548,355,298,15,21
M,819,388,421,7.090909091,6
F,613,245,294,6,11
F,431,314,310,8.235294118,11
M,710,287,325,7.285714286,10
F,3673,675,589,6.5,10
F,365,310,221,15,15
F,682,464,421,9.666666667,16
F,901,336,411,10.20588235,12
M,1676,336,398,5.571428571,25
F,445,398,370,14.55555556,26
F,588,383,344,22.6,50
F,413,171,123,10.16666667,12
F,522,349,326,12,10
F,303,217,219,10.375,20
M,633,442,439,13.16666667,10
F,391,243,242,14,10
F,707,283,291,5.25,7
M,1179,496,462,13.46666667,15
M,3365,525,655,6.2,10
M,1315,384,398,4.818181818,3
F,668,191,239,6,10
M,399,266,259,13.90909091,24
F,3200,292,325,13.2,15
F,289,226,224,9.214285714,12
F,1796,271,334,20,20
M,625,282,299,17.14285714,25
F,978,324,349,15.85,30
M,367,186,193,3.166666667,3
M,376,195,231,9.411764706,10
F,937,441,433,15,21
F,675,310,301,3.083333333,3
F,232,259,229,6.928571429,10
F,545,382,400,8.6,15
F,458,270,276,13.4,25
M,814,268,312,16.4,20
F,671,340,349,10,25
F,452,316,339,6.34,17
M,826,348,390,9.1875,8
M,860,351,346,11.33333333,20
F,185,283,312,8.787878788,10
M,576,280,244,12.90909091,10
M,2431,579,655,10.89473684,12
M,388,410,413,33.33333333,50
F,1680,878,943,5.076923077,5
M,1128,467,442,14.5,20
F,916,421,458,18.46153846,10
F,340,228,235,9,10
M,711,353,360,11.95454546,10
F,893,463,508,9.25,14
M,644,222,243,11.44444444,16
F,440,261,260,12,20
F,363,127,115,15,15
F,1745,512,485,8,5
F,672,416,348,6.631578947,5
F,1419,697,700,9,15
F,1938,787,629,12.33333333,21
F,1495,334,348,5.714285714,7
M,561,353,368,8.75,10
M,5980,1500,1124,38.75,50
M,1412,601,538,12,16
M,1869,542,553,3.818181818,5
F,556,272,258,13.25,15
F,1015,500,516,7,10
F,736,390,379,8.666666667,16
M,363,193,214,8.4,20
F,803,512,467,11.66666667,15
F,1818,316,299,13.7,15
F,640,414,403,6.928571429,5
F,698,377,393,8.5,10
F,1449,439,395,15,5
F,1557,311,342,10.5,10
F,518,256,273,4.583333333,7
F,1180,248,277,9.666666667,15
M,2869,668,686,14.16666667,25
F,1514,451,439,11.4,15
F,444,318,310,12.69230769,12
M,654,306,312,18.71428571,25
F,985,495,487,15.2,26
M,714,465,437,50,25
F,1854,377,339,23,23
F,2780,587,653,9.828571429,10
F,1538,305,349,30,50
F,1528,358,370,19.16666667,25
F,1165,518,454,7,10
F,439,262,303,12.4,10
F,681,422,428,15,15
F,1865,295,317,24.5,47
M,225,204,217,18.08333333,26
M,258,244,245,5.454545455,9
M,2236,563,612,9.785714286,10
M,403,223,213,8.619047619,10
F,3071,694,704,12.53333333,25
M,1442,394,445,7.846153846,10
M,5813,1302,1077,15,15
F,2250,375,379,11.4,21
F,761,347,351,10.81818182,10
F,2930,454,456,15,20
F,3370,346,356,16.06666667,15
M,966,463,479,7.363636364,10
F,2024,400,392,8.631578947,15
M,703,357,350,16.5,32
M,1286,502,542,15,15
F,758,397,448,7.857142857,5
F,657,216,220,8.666666667,20
M,581,368,378,10.85714286,15
M,1247,358,357,7.376458333,8
F,559,277,244,7.136363636,7
M,687,375,390,7.181818182,10
M,690,451,468,12.33333333,15
F,988,246,247,6.25,6
F,1500,353,332,5.24,6
F,1650,225,304,12.5,10
F,357,268,260,20,20
M,406,226,183,5.7,11
F,871,501,503,9.1,15
M,768,310,323,16.75,22
M,458,241,308,12.16666667,13
M,485,382,402,8,10
F,405,267,261,5.923076923,5
F,459,253,272,6.294117647,10
M,811,394,395,8.75,10
M,509,254,288,7.142857143,10
F,1030,553,473,12,20
F,881,393,414,6.153846154,10
M,2794,630,671,8,15
F,3233,753,714,16.81818182,25
M,931,192,180,5.571428571,10
F,529,340,319,10.5,15
F,1897,519,476,10,14
F,641,168,236,9.462962963,11
M,715,283,317,14.86666667,10
M,532,436,486,25,30
F,876,409,426,8.3,10
M,1175,318,376,10.25,15
F,3921,410,575,13.57142857,20
F,919,538,446,8.307692308,10
F,625,276,316,5.222222222,5
M,734,348,365,16.5,10
M,468,300,278,21.5,25
M,583,317,343,4,5
M,314,224,236,13.33333333,20
F,671,354,363,6.25,10
M,550,344,303,9.642857143,10
F,609,551,490,13.23076923,18
F,1650,404,477,15,21
F,1979,640,526,16,26
F,473,364,319,10.83333333,10
F,475,260,241,15,10
F,872,424,458,10.83333333,20
M,1075,449,373,10.10526316,10
F,580,322,347,10.75,14
F,442,341,325,6.285714286,8
M,325,133,188,6.363636364,6
M,1276,524,497,5.5,8
F,438,302,287,12.25,20
F,386,301,313,11.66666667,13
F,2433,459,449,6.266666667,10
M,1464,413,377,4,4
F,998,550,581,6.25,10
F,821,475,425,17.1875,15
F,2300,345,350,5.533333333,15
M,1852,561,602,7.368421053,7
F,663,220,234,13.24,20
F,2056,924,931,7.2,8
M,916,435,444,10.9,15
M,2282,945,938,18,10
F,2883,532,588,13.33333333,25
M,637,425,355,8.615384615,9
F,273,150,152,7.604651163,8
F,1709,422,408,7.176470588,10
M,2307,478,490,3.214285714,3
M,691,308,327,9.866666667,15
F,2479,456,500,11.6,15
M,858,505,555,15,20
M,351,225,238,13,16
F,1672,732,765,23,30
F,463,265,308,11.5,20
M,470,273,314,6.555555556,5
F,1248,348,346,7.5,5
F,994,488,491,10,25
F,1654,203,266,10,15
F,653,364,350,17,25
M,402,192,210,9.214285714,11
F,1914,399,392,9.090909091,15
F,5619,942,649,12.54545455,10
M,670,321,336,7.375,30
F,400,242,247,5.6,5
F,2206,567,583,8.428571429,8
F,535,318,328,7.6,10
M,444,259,259,9.95,10
F,476,274,236,23.85294118,8
F,593,298,336,13,20
M,2238,602,587,3.25,7
F,2811,577,599,11.08333333,20
F,1775,443,490,10,20
M,2549,757,786,11,15
M,2356,560,560,16.09090909,20
M,913,289,309,13,20
M,500,308,304,15,21
F,687,90,171,5.222222222,5
M,284,258,269,4.4375,5
F,678,242,196,8.105263158,18
M,1685,479,449,7.611111111,5
F,1461,342,411,5,5
F,400,279,264,9.533333333,10
M,824,371,365,12.5,25
F,855,384,508,8.729166667,12
M,578,323,275,10.64285714,12
F,699,254,304,13.6,20
F,5372,845,801,18.75,20
F,839,465,475,9.625,10
F,662,436,444,13.5,16
F,575,299,261,10.5,10
F,281,207,208,5.909090909,10
F,3370,824,824,9.888888889,20
M,2803,616,546,12.2,22
M,601,274,286,15,30
M,828,396,451,12.5,10
F,2408,952,924,15,20
F,445,242,244,7.3,8
F,722,325,374,20.85714286,40
M,1811,405,440,13.75,15
F,534,321,308,5.290322581,3
F,866,453,454,12.83333333,20
M,471,334,303,5.647058824,6
F,987,544,490,25,25
M,1102,639,648,25,30
M,5863,1500,1146,50,50
F,198,211,237,9.266666667,9
F,512,198,208,11.125,15
M,886,458,433,11.28571429,30
M,1429,759,755,5.1875,6
M,386,301,313,5.428571429,10
F,740,259,257,10,21
F,543,314,321,10.91666667,18
M,1896,511,548,15,20
F,876,353,403,7.875,10
F,575,349,326,15,10
F,900,524,537,7.692307692,3
F,1171,323,329,9.888888889,15
M,1429,497,507,4.75,10
M,4143,690,704,13.72727273,20
F,858,418,429,7.785714286,10
F,582,325,321,4,5
F,902,413,460,10,15
F,582,288,286,20,20
M,2469,411,475,13.25,12
F,0,423,417,5.4375,10
F,1107,476,432,7.764705882,5
M,967,348,342,18.66666667,25
M,1250,411,429,22.5,10
F,139,106,92,3.3125,4
M,1861,499,461,14,25
M,3247,666,722,6.147058824,7
F,1146,435,447,7.5,9
F,415,262,281,9.333333333,15
M,496,317,351,8.833333333,9
F,726,334,326,10.66666667,20
M,1028,493,483,20,30
M,1464,413,294,9.857142857,10
F,719,337,373,6.428571429,6
F,3063,429,418,20,20
F,684,311,326,12.2,20
F,376,339,304,6.217391304,15
F,927,417,448,9.733333333,15
M,3511,452,421,5.466666667,5
F,1185,373,369,21.66666667,5
F,453,260,266,8.307692308,10
F,747,489,475,10,25
M,439,388,371,10.6,15
F,935,439,510,11.21428571,10
M,616,234,248,5.133333333,5
F,947,360,342,85,100
F,5014,664,765,13,16
M,675,298,341,11.22222222,16
M,3663,777,784,4.285714286,4
M,269,256,250,7.75,9
F,226,288,228,14,50
M,278,244,238,9.777777778,20
M,471,307,273,10.33333333,15
F,1219,472,494,3.722222222,3
M,382,181,205,9.166666667,25
F,1699,657,581,12.16666667,10
F,1165,514,519,11.5,23
F,803,429,447,4.069767442,5
F,394,293,264,3.7,4
F,490,341,336,19.6,30
M,849,368,398,17.85714286,10
F,1372,419,421,15,15
F,358,325,342,6.933333333,6
F,325,231,178,15,10
F,355,224,229,20,20
F,713,259,267,7,10
M,550,313,303,7.291666667,7
M,450,391,391,11.68181818,10
M,1460,633,659,4,5
M,478,337,352,7.3125,7
F,846,459,399,8.25,8
F,694,321,342,7.666666667,9
F,4183,704,671,5.428571429,5
F,744,457,432,8,5
F,875,330,326,11.75,20
F,354,248,253,7.8,8
F,1675,505,441,20,10
F,421,233,202,10,18
F,782,469,565,10.73684211,10
F,574,268,256,20,20
F,742,361,287,12,13
F,1067,529,534,11.25,14
F,860,490,464,14.88888889,20
F,1175,619,626,4.5,6
M,916,321,293,22,20
F,4259,498,573,15,15
F,566,242,249,5.6,5
M,525,346,364,6.923076923,10
M,1582,335,330,14.25,20
M,1006,398,383,4.066666667,4
M,345,197,233,20,40
F,362,216,246,5.08,5
M,431,260,242,9,25
F,2457,445,472,12.5,15
F,2789,488,524,15,15
F,385,231,288,8.666666667,10
F,623,294,283,4.416666667,6
M,5470,664,781,9.75,15
M,673,394,406,5.739130435,13
F,582,359,297,6.357142857,10
F,4392,539,509,28.92307692,10
F,1468,363,361,10.66666667,10
M,764,363,377,20,20
F,1274,462,404,4.454545455,8
M,1749,281,291,27.5,100
M,1509,617,599,11.125,20
M,816,384,413,11.6,20
F,905,241,244,6.111111111,13.92
F,1027,451,475,8.5,10
F,871,501,503,9,15
F,2833,172,282,3.705882353,3
M,428,319,268,8,8
M,1088,308,335,7.285714286,10
F,1304,222,288,17.09090909,25
M,1859,407,465,4.272727273,11
M,595,363,363,5.954545455,9
M,3017,962,867,9,15
F,396,249,246,13.33333333,10
M,538,173,169,9.307692308,10
F,1875,138,96,8.333333333,10
M,386,287,275,17.4,22
M,1565,741,838,12.4,20
M,246,174,205,5.1,6
F,3325,603,611,20,25
F,1185,368,402,6.666666667,7
F,2438,672,588,40.75,47
M,728,188,230,12.5,15
F,3231,536,444,11.75,20
M,3937,581,578,15.33333333,18
M,1008,496,463,12.30769231,15
F,848,488,509,10,15
M,1158,398,373,5.75,10
M,1139,566,455,17.5,30
F,3741,1469,1157,9,15
M,468,295,306,8,10
F,675,379,242,12.5,15
M,1486,406,489,12.75,23
M,1250,576,572,7.619047619,20
F,3760,761,800,11.9,20
M,1991,538,615,8.636363636,12.5
F,404,258,250,10,14
F,413,306,132,5.115384615,10
M,2094,606,639,11.46153846,14
F,818,397,345,5.642857143,5
F,3206,399,383,20,20
F,5045,663,703,5.5,3
F,4286,910,883,13.6,10
M,621,342,299,6.705882353,10
M,1993,472,484,4.5,5
F,1493,240,317,14,10
M,2973,674,656,25,25
F,1028,234,220,21.09090909,10
F,3373,670,633,7,11
M,973,521,549,7.2,8
F,505,236,227,12.5,15
M,524,296,276,8.666666667,10
F,1851,531,530,20,20
F,1401,474,466,19.4,30
M,3952,715,774,15,25
F,1250,430,404,16.45454546,20
F,740,422,487,8.714285714,10
M,2442,993,764,89.44444444,100
F,1654,343,377,20,20
M,500,438,381,12.05555556,20
M,642,355,356,13.11111111,13
M,430,256,264,8.666666667,6
M,692,266,249,7.6,15
F,1062,550,555,15.33333333,20
M,1375,383,362,9.5625,10
F,2469,767,559,7.5,8
F,2400,526,481,13.14285714,20
M,1472,580,583,20,10
F,637,394,380,4.5,5
M,1557,311,342,9.428571429,10
F,1072,647,579,7.833333333,5
M,326,256,242,11.4,12
M,1277,245,274,18.05882353,24
M,593,458,375,25,25
M,3197,347,328,4.111111111,4
M,685,465,425,14.88888889,15
M,458,238,250,7.778333333,10
M,5332,546,677,4.814814815,3
F,695,305,337,5.9375,10
F,3514,682,625,23,23
F,883,421,417,7.083333333,5
M,672,383,422,7.894736842,10
M,5791,835,814,9.846153846,10
F,699,477,430,16.66666667,25
F,877,430,446,11.28571429,10
M,740,295,358,31.75,16.87
M,1074,504,560,7,12
M,685,422,436,9.4,10
F,1403,430,480,9.4,20
M,838,366,441,8.888888889,20
F,460,279,281,13.85714286,20
F,1578,304,342,9.118235294,14
F,944,509,492,14.5,16
M,2817,863,866,6.25,6
M,0,0,0,9.47125,12
M,395,242,215,6.857142857,6
F,651,287,303,10.9,10
M,366,182,196,12.75,25
F,2280,397,419,5.484848485,10
F,550,211,206,14,25
F,660,188,235,4.090909091,2
F,3531,554,581,9.540540541,9
M,738,350,372,15.75,25
F,718,256,254,5.8125,11
M,469,250,241,21.63636364,25
F,318,250,240,21.85,15
M,5132,757,721,19.73684211,20
F,1181,466,494,17.83333333,25
M,386,276,274,5,6
F,685,405,320,6,7
M,756,334,426,6.380952381,16
M,464,310,283,19.28571429,25
M,0,0,0,17,25
F,1245,634,687,7.285714286,8
F,1869,358,344,20,25
F,432,300,226,8.125,11
M,807,374,390,7.375,10
F,786,460,393,12.33333333,20
M,1270,419,476,8.833333333,12
F,4167,376,224,13,22
F,472,308,306,6.578947368,10
M,824,371,365,9.166666667,10
F,2156,319,419,11.625,10
M,906,417,443,9.666666667,10
F,560,333,295,14.2,20
M,475,186,201,4.909090909,5
F,567,158,210,5,6
M,799,400,421,3.4,6
F,574,243,241,23.11111111,50
M,430,333,314,9,5
M,711,351,305,10.66666667,21
M,576,326,353,8.333333333,6
F,786,443,422,17.5,25
M,710,446,442,14.77777778,25
F,1027,584,520,42.08333333,50
M,475,295,291,7.5625,11
M,568,256,273,10.52631579,15
M,1035,339,298,4.15,4
F,1671,664,700,9.2,15
F,605,335,343,6.285714286,10
M,593,341,316,9.643571429,17
M,491,384,357,16.125,20
F,301,208,246,13.25,10
F,560,384,340,15,25
F,617,202,239,12.91666667,15
M,481,248,265,7.823529412,7
M,602,366,363,8,15
F,469,241,257,10.875,15
M,1191,536,515,10,10
F,547,337,340,16.4,20
F,659,338,334,6.916666667,10
F,466,242,242,25,30
M,347,221,252,5.5,6
M,871,426,452,11.33333333,15
M,682,432,395,5.403846154,7
F,987,408,420,22,27
M,605,241,269,22,25
M,389,218,211,4.8,5
M,448,309,330,10.5,20
F,786,371,384,3.444444444,3
M,542,219,239,7.444444444,11
F,300,163,134,4.838709677,5
M,475,360,324,10.5,15
F,902,507,500,15,50
M,499,283,273,13.5,10
M,684,523,503,5.75,6
M,3608,462,421,80,50
F,705,416,449,30.71428571,50
F,780,485,488,3.113636364,4
F,496,218,260,7.619047619,10
F,787,271,264,13.33333333,23
F,454,311,302,9,15
M,762,396,418,22.5,25
M,3839,669,706,11.85714286,20
F,813,360,348,22.8125,15
F,1375,510,330,63.03571429,102
M,704,374,295,9,15
F,5743,812,708,4.1,5
F,483,237,216,9.545454546,10
M,1903,265,274,18.5,24
F,497,364,357,3.08,3
F,2368,827,723,13.2,30
F,374,305,225,5.538461539,12
F,508,303,377,5.571428571,8
M,676,172,201,12.13333333,19
M,805,506,421,21.16666667,5
M,732,416,450,11.66666667,20
F,737,383,357,5.071428571,5
M,600,255,292,15,20
M,686,449,408,12.75,20
M,500,385,263,7,9
F,877,380,392,8.578947368,10
M,5954,1500,1185,9.285714286,14
F,835,244,240,11.875,10
F,925,363,215,15.46428571,25
F,483,393,382,38,25
F,1290,559,575,10,15
F,613,207,168,14.875,25
F,938,319,344,14.07142857,20
M,2741,609,586,12.4,15
F,546,244,270,10,25
M,894,481,452,11.5,25
M,493,305,273,15,15
F,386,231,220,15,25
F,472,303,284,6.071428571,5
M,834,409,382,8.214285714,5
M,604,385,339,10.71875,11
M,588,272,292,7.4,8
M,429,259,253,3.6875,5
M,737,420,420,15,25
F,985,453,449,15.33333333,20
M,1083,502,506,11.125,10
F,442,210,274,5.166666667,12
M,1642,551,611,4.913043478,5
M,1483,333,382,14.07692308,25
F,940,465,452,15,25
F,2012,316,294,15.66666667,20
F,1773,306,346,15,10
M,946,436,465,6,9
M,729,444,448,4.875,5
F,2375,358,331,11.55555556,19
M,3092,644,641,17.33333333,25
M,2312,516,531,8.941176471,7
F,1063,322,304,9.173913044,15
F,629,277,279,9.5,15
M,1247,617,672,10.15384615,10
F,807,388,377,9.529411765,15
F,679,247,304,47.18181818,100
M,1395,509,580,20.875,25
M,576,319,295,17.625,30
F,1355,567,593,3.8,5
F,2679,470,535,6.583333333,13
F,553,399,355,6.862068966,13
F,638,483,488,9.5,22
M,359,218,159,3.583333333,10
F,1246,296,339,7.5,10
M,631,324,333,12.21428571,10
F,5708,708,575,16.25,25
F,955,332,346,12.33333333,12
M,810,354,368,9.090909091,10
M,2241,822,716,15,15
M,1432,423,453,7.2,8
F,609,357,301,11.78947368,11
F,889,368,391,10.66666667,15
F,629,197,214,9.857142857,20
F,2128,472,559,20,20
F,645,376,360,7.666666667,10
F,1344,403,377,9.5,17
M,821,371,390,10,10
M,681,396,406,12,25
F,386,231,220,8.444444444,18
M,361,182,199,29.57142857,30
F,583,371,385,8.5,25
M,1711,542,629,13,25
F,700,415,356,11.33333333,10
M,904,446,442,10.6,20
M,833,350,329,12.14285714,30
F,607,371,346,15,21
M,631,278,288,25,10
M,4112,798,725,15.14285714,17
F,342,214,241,7,7
M,668,308,317,15,15
M,313,165,210,15,15
M,427,464,538,15.25,23
F,886,536,570,42.5,20
M,480,184,214,5.916666667,8
M,809,319,342,16.33333333,25
M,438,324,282,8.2,9
F,442,253,257,9.166666667,5
M,1034,524,515,15,11
M,679,327,332,46.33333333,100
F,351,214,212,20,25
F,614,317,305,8.666666667,10
M,881,332,375,14.8,25
F,616,334,348,8.5,9
F,522,292,294,20,20
F,1184,341,352,9.875,20
M,1348,712,752,6.2,7
F,604,338,356,6.590909091,7
F,1167,576,597,15,25
M,836,431,347,8.947368421,10
F,1349,418,436,12.5,15
M,4507,1004,893,20,20
F,586,413,404,7.3,10
F,556,277,292,9.818181818,12
M,1467,323,356,7.333333333,5
F,340,151,173,10,20
M,497,296,343,6.368421053,10
F,1149,460,469,23.33333333,200
M,514,224,226,10,10
M,870,345,357,9.571428571,10
M,2680,506,402,20,35
F,556,275,268,10.33333333,15
F,736,293,321,15,15
M,868,564,569,8.5,12
M,364,307,287,8.833333333,15
F,1709,518,527,15,20
F,875,326,326,15.9,26
M,713,313,323,6,7
F,556,358,320,9.428571429,12
M,3200,311,333,3.106060606,4
F,1567,391,434,6.5625,7
F,953,379,387,15.57142857,25
M,492,260,284,19.375,25
M,2645,655,682,8.75,15
F,1952,365,367,13,13
F,1305,456,448,7,5
F,3556,701,838,7.35,7
M,473,338,348,13.5,26
F,3201,552,539,5,5
M,2213,447,491,4.95,10
F,1455,417,393,6.35,10
F,393,258,258,10,15
F,2453,451,436,5.8125,7
M,533,276,287,13.375,17
F,647,317,300,8.916666667,5
F,1044,318,458,13.16666667,20
M,702,348,337,11.11111111,15
M,852,540,535,14.62347826,20
M,1045,538,604,15,20
F,5501,924,870,17.5,25
F,3921,804,799,10,12.5
F,919,562,558,17.92307692,25
F,755,315,244,16.5,10
F,1383,464,499,7,8
F,3694,611,601,32.22222222,20
M,1690,655,653,9.928571429,15
M,438,213,265,26,15
F,1187,448,438,11.66666667,25
F,1617,414,457,7.5,10
M,1367,329,359,6.75,9
F,854,389,372,17.73333333,32
M,493,311,314,12.5,10
M,700,360,355,5.444444444,5
F,1765,465,442,22.38095238,33
M,0,0,0,5.666666667,6
F,929,369,314,8.5,12
F,4313,783,752,11.85714286,10
M,470,313,282,4.2,5
F,1159,557,574,6.230769231,3
F,3152,891,908,34,38
M,1137,362,425,9,5
M,912,370,379,12.16666667,5
M,332,257,261,7.133333333,10
M,247,220,231,5.5,15
