HV1,IC1,IC2,IC3,IC4,IC5,AVGGIFT,TARGET_D
1551.0,168,178,222,189.0,5893,17.875,20.0
1031.0,304,355,349,336.0,13513,6.578947368,10.0
773.0,300,319,333,317.0,11482,8.666666667000001,10.0
1740.0,515,559,575,550.0,17626,10.0,15.0
793.0,204,249,250,234.0,9186,9.1,14.0
1682.0,360,392,376,376.0,14988,5.818181817999999,10.0
936.0,360,515,509,461.0,28807,3.7037037039999996,4.0
668.0,240,319,268,276.0,10020,8.0,8.0
4031.0,549,626,610,595.0,20683,15.2,20.0
2796.0,569,568,644,594.0,21982,6.923076922999999,15.0
1664.0,321,363,371,352.0,17804,11.0,25.0
896.0,202,256,254,237.0,8534,15.44444444,17.0
808.0,239,291,274,268.0,11284,5.578947368,12.0
2373.0,281,418,364,354.0,24681,13.71428571,19.0
5833.0,691,736,762,730.0,37073,26.5,30.0
1443.0,252,291,316,286.0,12884,6.96,15.0
1178.0,262,355,298,305.0,12621,15.0,21.0
3064.0,649,769,700,706.0,33887,6.416666667,7.0
1098.0,284,304,274,287.0,9667,11.5,20.0
1030.0,286,343,324,318.0,12400,8.363636364,15.0
852.0,250,281,291,274.0,12888,7.777777778,10.0
1100.0,236,270,279,262.0,10406,12.36142857,16.0
829.0,277,360,345,327.0,12618,17.5,10.0
1489.0,463,526,531,507.0,21120,8.0,10.0
1225.0,332,398,370,367.0,13662,14.55555556,26.0
1020.0,171,234,247,217.0,10643,15.0,20.0
1088.0,407,409,455,424.0,17576,7.454545455,11.0
618.0,296,292,296,295.0,11236,8.894736842,10.0
1823.0,518,534,612,555.0,26092,15.0,15.0
1233.0,341,393,382,372.0,14629,38.0,25.0
1720.0,314,370,389,358.0,15281,12.66666667,25.0
1203.0,285,366,329,327.0,20996,5.2352941180000006,7.0
1968.0,648,664,663,658.0,20187,13.38461539,10.0
1500.0,437,1151,643,744.0,64360,20.0,20.0
713.0,72,306,132,170.0,7241,5.115384615,10.0
1850.0,367,430,404,400.0,19095,16.45454546,20.0
848.0,217,221,265,234.0,10551,7.0,10.0
3200.0,668,701,717,695.0,26199,11.44444444,15.0
1283.0,331,349,367,349.0,13025,11.22727273,20.0
5364.0,784,791,829,801.0,33464,20.0,20.0
1174.0,212,268,256,245.0,10315,20.0,20.0
547.0,166,211,227,201.0,10630,8.96875,5.0
6251.0,817,924,870,870.0,41734,17.5,25.0
180.0,0,0,0,0.0,0,5.666666667,6.0
1618.0,545,613,602,587.0,23589,9.68,16.0
4563.0,730,807,770,769.0,32713,23.33333333,25.0
811.0,238,292,288,273.0,11412,4.428571429,8.0
1235.0,419,439,510,456.0,16922,11.21428571,10.0
646.0,359,405,462,409.0,21791,5.857142857,5.0
3496.0,366,453,470,430.0,15702,17.66666667,34.0
2291.0,376,387,435,399.0,17077,11.625,15.0
1096.0,241,351,348,313.0,20826,8.0,17.0
1731.0,408,415,426,416.0,12932,25.0,30.0
2205.0,371,380,405,385.0,10775,10.66666667,10.0
925.0,385,394,406,395.0,12802,8.875,11.0
1026.0,381,411,377,390.0,14190,9.173913043999999,15.0
1999.0,462,657,581,567.0,35636,12.16666667,10.0
895.0,289,346,330,322.0,13060,14.18181818,10.0
698.0,213,307,256,259.0,11564,5.8,5.0
2057.0,433,498,543,491.0,22698,17.5,35.0
2166.0,367,618,508,498.0,22850,15.0,15.0
640.0,118,170,161,150.0,7192,10.5,16.0
771.0,260,321,300,294.0,12452,8.428571429,11.0
735.0,186,238,207,210.0,11355,6.1111111110000005,2.0
964.0,312,335,293,313.0,9474,9.25,20.0
2127.0,388,464,391,414.0,15328,30.0,40.0
3592.0,658,770,675,701.0,23169,12.5,15.0
2195.0,549,609,644,601.0,20320,13.25,11.0
1458.0,369,398,373,380.0,11592,5.75,10.0
1233.0,269,273,291,278.0,9551,25.0,20.0
1461.0,223,269,266,253.0,14751,26.25,25.0
914.0,206,224,236,222.0,10245,13.33333333,20.0
2034.0,454,458,490,467.0,14776,7.6875,5.0
1993.0,423,467,457,449.0,17493,10.875,10.0
2083.0,512,607,590,570.0,22926,15.0,21.0
1124.0,191,222,243,219.0,9569,11.44444444,16.0
2109.0,454,466,503,474.0,15886,8.0,10.0
1526.0,369,386,419,391.0,15118,11.53333333,20.0
739.0,277,331,321,310.0,12713,5.0882352939999995,5.0
3030.0,294,304,391,330.0,15068,5.127659575,10.0
814.0,244,285,280,270.0,10904,10.77777778,12.0
5528.0,792,981,849,874.0,35530,19.25,25.0
734.0,234,305,225,255.0,10539,5.538461539,12.0
1155.0,418,571,461,483.0,16097,15.0,14.0
1516.0,242,321,293,285.0,10719,22.0,20.0
1239.0,422,422,445,430.0,13128,8.0,12.0
782.0,279,336,339,318.0,12653,8.533333333,5.0
1251.0,305,374,354,344.0,13073,20.77777778,25.0
2749.0,464,472,518,485.0,19318,7.615384615,10.0
1291.0,474,484,489,482.0,15312,7.941176471,7.0
1415.0,138,213,188,180.0,6125,11.45833333,18.0
1330.0,335,343,386,355.0,13951,17.71428571,15.0
925.0,259,293,305,286.0,11314,6.846153846,12.0
1744.0,294,332,310,312.0,11315,39.0,44.0
1082.0,218,278,269,255.0,11739,11.4,25.0
1096.0,286,324,327,312.0,15141,9.796428571,15.0
950.0,294,358,333,328.0,13480,4.285714286,5.0
750.0,0,0,0,0.0,0,22.5,25.0
2593.0,395,473,429,432.0,15398,8.565217391000001,13.0
808.0,201,242,255,233.0,11136,17.17647059,20.0
7077.0,492,808,594,631.0,51280,28.83333333,47.0
984.0,143,143,129,138.0,2864,10.5,10.0
1263.0,414,495,499,469.0,26469,14.83333333,15.0
869.0,328,336,342,335.0,11879,7.333333333,10.0
649.0,171,226,224,207.0,9765,9.214285713999999,12.0
2482.0,555,561,559,558.0,17516,6.590909091,10.0
1596.0,265,319,324,303.0,10075,15.2,25.0
859.0,220,254,264,246.0,12538,7.333333333,5.0
805.0,123,168,173,155.0,6552,8.5,15.0
890.0,191,202,274,222.0,10191,13.66666667,11.0
1616.0,387,453,428,423.0,24381,25.0,25.0
2728.0,470,472,559,500.0,16285,20.0,20.0
885.0,352,381,435,389.0,18503,5.9375,4.0
468.0,149,163,192,168.0,7827,4.409090909,5.0
1041.0,189,238,211,213.0,9188,12.5,25.0
734.0,237,337,305,293.0,11550,11.66666667,10.0
475.0,148,181,171,167.0,6334,6.7,5.0
4052.0,783,826,827,812.0,32609,7.2,12.0
1315.0,478,500,516,498.0,17763,9.571428571,10.0
1166.0,208,223,241,224.0,6854,8.058823529,20.0
931.0,273,278,288,280.0,8650,25.0,10.0
2448.0,580,602,587,590.0,18247,3.25,7.0
1360.0,340,425,422,396.0,19213,6.375,10.0
1010.0,294,322,329,315.0,15425,18.0,5.0
648.0,273,302,304,293.0,12893,5.0,5.0
895.0,332,347,368,349.0,18324,7.125,10.0
1077.0,214,256,261,244.0,10197,26.375,20.0
2920.0,412,421,461,431.0,16335,38.66666667,25.0
1296.0,303,339,323,322.0,11637,22.5,20.0
1249.0,366,363,391,373.0,13229,4.833333333,5.0
1004.0,285,305,333,308.0,13339,5.92,6.0
2996.0,595,649,641,628.0,22684,13.65517241,16.0
544.0,115,185,152,151.0,6854,5.0,5.0
1227.0,265,305,309,293.0,11854,15.0,25.0
1004.0,359,370,392,374.0,13482,7.5,10.0
1126.0,313,321,351,328.0,10419,16.78571429,23.0
1300.0,252,257,281,263.0,12806,20.0,20.0
728.0,215,250,264,243.0,10674,8.733333333,10.0
1823.0,229,298,276,268.0,10841,9.303030303,11.0
2057.0,472,488,560,507.0,20587,8.388888889,10.0
3227.0,620,754,617,664.0,29524,5.272727273,5.0
786.0,293,309,324,309.0,10516,8.294117647,10.0
1195.0,330,392,380,367.0,12862,8.428571429,20.0
4381.0,494,609,543,549.0,22770,20.0,20.0
1200.0,368,412,468,416.0,24073,12.5,21.0
1137.0,405,410,431,415.0,14237,12.83333333,15.0
3113.0,313,366,388,356.0,23850,10.0,10.0
1155.0,204,241,251,232.0,12915,15.4,15.0
3230.0,153,293,256,234.0,15290,9.75,16.0
5404.0,1106,1195,1086,1129.0,42857,7.444444444,15.0
1115.0,334,351,496,394.0,25715,6.25,9.0
300.0,232,280,271,261.0,10744,2.260869565,2.0
2168.0,339,383,334,352.0,11745,21.0,23.0
555.0,166,208,215,196.0,7997,6.666666667,5.0
3757.0,1012,963,993,989.0,41173,16.25,20.0
1008.0,386,421,488,432.0,23053,7.666666667,5.0
2055.0,407,409,489,435.0,21937,18.33333333,25.0
934.0,167,205,216,196.0,8739,10.28571429,15.0
1495.0,496,605,585,562.0,23741,12.0,20.0
2183.0,771,804,853,809.0,39170,7.736842105,10.0
1493.0,596,596,591,594.0,19287,9.0,12.0
3000.0,451,526,481,486.0,17470,13.14285714,20.0
1285.0,473,497,477,482.0,16227,9.375,15.0
1042.0,237,404,297,313.0,11962,12.0,17.0
1579.0,280,249,315,281.0,6474,8.0,10.0
2527.0,447,584,520,517.0,25039,42.08333333,50.0
1708.0,599,634,649,627.0,21114,8.296296296,15.0
751.0,243,265,282,263.0,10964,8.666666667000001,9.0
1434.0,366,408,400,391.0,15041,15.0,21.0
1035.0,459,393,445,432.0,8656,13.58333333,15.0
1158.0,298,301,327,309.0,10331,14.77777778,20.0
993.0,287,313,314,305.0,11982,20.0,20.0
633.0,198,231,245,225.0,9290,4.833333333,5.0
1546.0,264,296,339,300.0,11851,7.5,10.0
1504.0,205,254,227,229.0,15860,19.875,27.0
1143.0,428,431,421,427.0,12010,15.0,20.0
760.0,294,313,303,303.0,9540,7.291666667,7.0
984.0,383,409,382,391.0,12532,8.214285713999999,5.0
846.0,376,407,377,387.0,13495,5.46,5.0
1440.0,304,334,353,330.0,12933,22.22222222,25.0
943.0,340,399,355,365.0,13167,6.862068966,13.0
1350.0,210,220,252,227.0,7629,5.7,6.0
1269.0,329,351,397,359.0,14391,15.0,15.0
1594.0,437,450,456,448.0,17090,12.85714286,20.0
1023.0,256,296,295,282.0,10311,11.0,20.0
1005.0,279,340,349,323.0,10716,4.785714286,20.0
615.0,200,181,225,202.0,7976,8.388888889,8.0
2188.0,342,413,374,376.0,21795,12.6875,16.0
3259.0,404,434,500,446.0,19718,9.444444444,10.0
1432.0,436,436,486,453.0,12734,25.0,30.0
6746.0,644,1177,785,869.0,100528,30.66666667,30.0
430.0,249,282,277,269.0,10337,3.6,5.0
2346.0,325,421,347,364.0,14795,22.5,25.0
418.0,268,281,267,272.0,9838,6.625,4.0
1570.0,268,321,336,308.0,13147,7.375,30.0
2997.0,409,486,402,432.0,16946,9.9,20.0
1705.0,323,334,348,335.0,14923,5.714285714,7.0
2176.0,293,316,351,320.0,12438,13.42857143,19.0
1211.0,396,422,425,414.0,15429,6.466666667,15.0
1671.0,313,342,411,355.0,20659,6.368421053,7.0
1868.0,354,453,385,397.0,13991,22.0,25.0
1244.0,140,161,175,159.0,13810,25.0,25.0
3873.0,609,608,694,637.0,35239,16.66666667,20.0
834.0,345,359,397,367.0,9317,5.0,5.0
1334.0,327,339,404,357.0,15094,10.0,21.0
825.0,333,346,364,348.0,12885,6.923076922999999,10.0
1304.0,256,295,304,285.0,11126,10.54761905,30.0
410.0,159,176,226,187.0,9167,5.956521738999999,5.0
6267.0,931,1445,957,1111.0,91576,9.84375,15.0
1103.0,263,464,367,365.0,18856,8.3,15.0
1154.0,275,345,324,315.0,13618,20.0,20.0
792.0,131,199,200,177.0,6858,13.0,12.5
4293.0,1245,1474,1065,1261.0,83519,10.33333333,24.0
753.0,208,264,288,253.0,12038,5.0,5.0
5390.0,738,963,797,833.0,50907,11.0,13.0
1653.0,462,473,497,477.0,17989,15.0,15.0
860.0,301,336,371,336.0,13747,7.6111111110000005,10.0
1550.0,218,459,328,335.0,13293,8.65,10.0
1182.0,174,230,223,209.0,8763,11.1,25.0
1058.0,388,412,418,406.0,12449,9.5,12.0
636.0,196,222,229,216.0,8008,8.230769231,10.0
862.0,261,271,321,284.0,14473,10.18181818,10.0
1439.0,313,320,343,325.0,12601,13.16666667,25.0
1662.0,724,754,714,731.0,23403,6.5625,10.0
1648.0,352,372,369,364.0,13998,10.0,30.0
833.0,218,333,252,268.0,15188,5.56097561,7.0
2013.0,280,272,329,294.0,6221,10.4,19.0
1697.0,362,452,384,399.0,13649,20.41666667,40.0
2032.0,253,289,312,285.0,13519,12.28571429,40.0
607.0,107,150,185,147.0,5912,13.33333333,15.0
1101.0,292,339,333,321.0,12912,13.38888889,17.0
1097.0,207,250,254,237.0,10030,20.0,20.0
1151.0,361,407,390,386.0,13805,7.6363636360000005,12.0
2203.0,198,186,220,201.0,6972,3.8125,4.0
1932.0,359,430,386,392.0,18266,19.43243243,25.0
803.0,212,244,250,235.0,10311,4.833333333,6.0
741.0,237,272,270,260.0,12781,9.4,10.0
921.0,275,340,332,316.0,16258,6.8666666670000005,8.0
928.0,375,406,429,403.0,15234,7.80952381,12.0
1131.0,387,422,428,412.0,13753,15.0,15.0
1502.0,570,621,620,604.0,25295,4.545454546,5.0
1869.0,661,697,700,686.0,23212,9.0,15.0
1616.0,235,246,278,253.0,12496,20.0,20.0
964.0,319,321,342,327.0,11517,7.666666667,9.0
828.0,237,272,292,267.0,11033,7.4,8.0
1755.0,612,639,653,635.0,20398,9.0,20.0
699.0,211,259,249,240.0,9617,6.2,10.0
975.0,267,270,295,277.0,8354,20.0,20.0
1514.0,394,450,444,429.0,19272,11.25,15.0
710.0,309,375,276,320.0,11438,5.5,6.0
1390.0,395,496,436,442.0,19153,5.375,5.0
438.0,64,60,93,72.0,4236,5.45,6.0
1081.0,172,218,227,206.0,9264,15.0,20.0
474.0,139,203,212,185.0,8615,3.6590909089999997,3.0
822.0,435,478,462,458.0,15391,5.52173913,5.0
2054.0,205,222,288,238.0,19336,17.09090909,25.0
937.0,248,287,286,274.0,10792,12.72727273,15.0
791.0,227,323,276,275.0,14229,11.84615385,10.0
1938.0,270,338,328,312.0,16434,5.1052631580000005,5.0
1197.0,250,268,284,267.0,10525,15.73333333,26.0
946.0,357,365,354,359.0,13882,12.0,10.0
3047.0,512,550,562,541.0,20184,11.83333333,25.0
587.0,251,294,291,279.0,11934,12.92857143,11.0
1438.0,160,164,223,182.0,8591,15.0,15.0
355.0,189,221,217,209.0,8737,5.166666667,5.0
634.0,212,259,259,243.0,10385,14.72,10.0
1560.0,479,526,548,518.0,19518,15.2,20.0
1079.0,256,339,319,305.0,15293,10.33333333,15.0
1814.0,522,542,540,535.0,17163,25.0,30.0
2589.0,631,647,657,645.0,22571,9.769230769,10.0
708.0,254,292,303,283.0,8051,4.9375,10.0
1053.0,387,432,417,412.0,17356,25.0,10.0
1626.0,278,309,310,299.0,13033,15.0,25.0
1440.0,364,416,450,410.0,18273,17.89473684,24.0
777.0,306,315,333,318.0,11279,4.85,2.0
1024.0,476,529,511,505.0,20261,14.4,3.0
1123.0,293,335,296,308.0,12900,11.5,15.0
3242.0,517,575,621,571.0,23627,15.0,15.0
1747.0,264,360,388,337.0,23026,4.1,3.0
958.0,357,382,382,374.0,13378,3.592592593,3.0
1205.0,396,454,426,425.0,15062,20.0,20.0
1434.0,481,504,560,515.0,18586,7.0,12.0
1310.0,296,384,340,340.0,14237,15.0,25.0
1255.0,324,379,397,367.0,12645,7.264347826,10.0
1038.0,258,310,293,287.0,11512,12.5,15.0
1398.0,234,252,297,261.0,10082,20.0,20.0
738.0,201,257,242,233.0,8303,15.61538462,10.0
3367.0,507,504,538,516.0,16165,12.11764706,22.0
1353.0,250,307,332,296.0,13240,9.333333332999999,18.0
604.0,192,256,230,226.0,9497,4.8636363639999995,6.0
4550.0,299,301,363,321.0,12365,5.75,10.0
2456.0,331,319,419,356.0,24742,11.625,10.0
756.0,326,326,353,335.0,11310,8.333333332999999,6.0
1290.0,0,0,0,0.0,0,38.0,43.0
3389.0,436,594,584,538.0,35502,15.0,25.0
1604.0,672,713,743,709.0,25036,9.9375,12.0
1113.0,180,206,207,198.0,7610,15.0,21.0
1091.0,356,384,357,366.0,12961,16.125,20.0
1086.0,339,354,349,347.0,11296,11.33333333,10.0
4790.0,982,1311,954,1082.0,68148,12.0,19.0
2587.0,369,481,433,428.0,18370,23.0,23.0
1652.0,442,506,519,489.0,22287,18.26666667,24.0
1105.0,258,274,314,282.0,13780,19.4,15.0
546.0,210,272,251,244.0,10058,6.296296296,7.0
1378.0,365,430,403,399.0,18128,5.0,7.0
1106.0,304,309,308,307.0,14123,7.35,15.0
3959.0,568,728,648,648.0,28817,19.4,25.0
974.0,242,268,271,260.0,13491,4.428571429,3.0
1533.0,310,347,365,341.0,11450,7.923076922999999,10.0
5539.0,659,1122,807,863.0,72797,9.961538462,13.0
728.0,193,207,195,198.0,6768,8.769230769,11.0
3039.0,581,591,614,595.0,21559,10.25,16.0
1176.0,337,353,403,364.0,15017,7.875,10.0
1499.0,497,541,591,543.0,25862,5.1,11.0
1506.0,304,322,320,315.0,13662,37.5,30.0
900.0,362,377,392,377.0,13652,3.761904762,10.0
1410.0,408,421,455,428.0,15766,12.83333333,20.0
1553.0,267,309,325,300.0,11879,16.57142857,29.0
1703.0,223,292,295,270.0,13175,11.53333333,14.0
941.0,255,331,314,300.0,12302,7.5,15.0
1619.0,370,414,417,400.0,13353,6.125,6.0
661.0,165,172,232,190.0,9324,10.66666667,11.0
2325.0,394,408,425,409.0,14032,13.21428571,20.0
1695.0,275,324,317,305.0,12089,13.33333333,25.0
703.0,197,230,293,240.0,19178,9.705882353,10.0
1139.0,313,320,343,325.0,12601,12.0,15.0
566.0,232,276,274,261.0,9987,5.0,6.0
1004.0,238,279,279,265.0,10659,9.0,15.0
3160.0,481,490,519,497.0,16047,14.42857143,18.0
1007.0,245,282,275,267.0,12951,5.628571429,5.0
1086.0,330,459,399,396.0,16752,8.25,8.0
2177.0,371,418,438,409.0,15962,5.2618518519999995,7.0
1943.0,231,288,281,267.0,11042,36.11111111,50.0
744.0,222,259,259,247.0,10074,9.95,10.0
1498.0,386,426,419,410.0,15377,6.04,5.0
1902.0,324,406,365,365.0,15603,6.071428571,6.0
1125.0,281,301,336,306.0,11946,15.0,10.0
5494.0,756,664,765,728.0,31694,13.0,16.0
1340.0,463,474,512,483.0,9493,11.28571429,15.0
1917.0,558,576,597,577.0,19797,15.0,25.0
1420.0,363,471,429,421.0,17548,6.269230769,5.0
1480.0,309,374,365,349.0,14673,25.0,25.0
881.0,194,209,219,207.0,8888,12.5,15.0
597.0,176,178,185,180.0,5972,21.0,10.0
623.0,187,186,215,196.0,7933,9.0,7.0
2110.0,265,321,362,316.0,17243,6.3,5.0
3843.0,390,609,549,516.0,48235,10.0,17.0
4006.0,735,701,838,758.0,34382,15.85714286,15.0
1149.0,292,327,313,311.0,11100,16.42857143,20.0
638.0,300,314,282,299.0,10516,4.714285714,5.0
